station_id,time_h0,value_h0,time_h-1,value_h-1,time_h-34,value_h-34,alert_d+1,value_d+1
7001,12,26.0,13,38.0,46,7.0,False,29.0
7001,36,29.0,37,11.0,70,56.0,False,67.0
7001,60,67.0,61,68.0,94,35.0,False,65.0
7001,84,65.0,85,58.0,118,33.0,False,19.0
7001,108,19.0,109,18.0,142,8.0,False,13.0
7001,132,13.0,133,43.0,166,50.0,False,8.0
7001,156,8.0,157,24.0,190,60.0,False,81.0
7001,180,81.0,181,81.0,214,54.0,False,74.0
7001,204,74.0,205,71.0,238,60.0,False,66.0
7001,228,66.0,229,64.0,262,58.0,False,78.0
7001,252,78.0,253,80.0,286,46.0,False,36.0
7001,276,36.0,277,27.0,310,69.0,False,74.0
7001,300,74.0,301,77.0,334,43.0,False,79.0
7001,324,79.0,325,80.0,358,46.0,False,62.0
7001,348,62.0,349,77.0,382,62.0,False,59.0
7001,372,59.0,373,71.0,406,51.0,False,71.0
7001,396,71.0,397,71.0,430,45.0,False,39.0
7001,420,39.0,421,48.0,454,15.0,False,14.0
7001,444,14.0,445,21.0,478,7.0,False,10.0
7001,468,10.0,469,10.0,502,35.0,False,41.0
7001,492,41.0,493,37.0,526,4.0,False,11.0
7001,516,11.0,517,12.0,550,44.0,False,16.0
7001,540,16.0,541,15.0,574,66.0,False,13.0
7001,564,13.0,565,22.0,598,69.0,False,73.0
7001,588,73.0,589,77.0,622,62.0,False,72.0
7001,612,72.0,613,72.0,646,49.0,False,72.0
7001,636,72.0,637,74.0,670,69.0,False,69.0
7001,660,69.0,661,75.0,694,86.0,False,78.0
7001,684,78.0,685,77.0,718,44.0,False,87.0
7001,708,87.0,709,84.0,742,73.0,False,68.0
7001,732,68.0,733,76.0,766,71.0,False,73.0
7001,756,73.0,757,76.0,790,58.0,False,77.0
7001,780,77.0,781,76.0,814,71.0,False,20.0
7001,804,20.0,805,31.0,838,47.0,False,55.0
7001,828,55.0,829,54.0,862,45.0,False,51.0
7001,852,51.0,853,52.0,886,54.0,False,40.0
7001,876,40.0,877,43.0,910,51.0,False,51.0
7001,900,51.0,901,53.0,934,74.0,False,63.0
7001,924,63.0,925,69.0,958,65.0,False,77.0
7001,948,77.0,949,77.0,982,49.0,False,30.0
7001,972,30.0,973,31.0,1006,66.0,False,25.0
7001,996,25.0,997,32.0,1030,73.0,False,34.0
7001,1020,34.0,1021,44.0,1054,67.0,False,85.0
7001,1044,85.0,1045,94.0,1078,46.0,False,87.0
7001,1068,87.0,1069,88.0,1102,58.0,False,65.0
7001,1092,65.0,1093,64.0,1126,44.0,False,54.0
7001,1116,54.0,1117,69.0,1150,44.0,False,70.0
7001,1140,70.0,1141,63.0,1174,26.0,False,62.0
7001,1164,62.0,1165,64.0,1198,64.0,False,22.0
7001,1188,22.0,1189,43.0,1222,96.0,True,100.0
7001,1212,100.0,1213,103.0,1246,83.0,False,86.0
7001,1236,86.0,1237,86.0,1270,54.0,False,82.0
7001,1260,82.0,1261,84.0,1294,80.0,False,78.0
7001,1284,78.0,1285,72.0,1318,82.0,False,87.0
7001,1308,87.0,1309,87.0,1342,25.0,False,73.0
7001,1332,73.0,1333,84.0,1366,30.0,False,24.0
7001,1356,24.0,1357,29.0,1390,75.0,False,80.0
7001,1380,80.0,1381,78.0,1414,47.0,False,80.0
7001,1404,80.0,1405,81.0,1438,76.0,False,71.0
7001,1428,71.0,1429,69.0,1462,81.0,False,87.0
7001,1452,87.0,1453,86.0,1486,54.0,False,95.0
7001,1476,95.0,1477,97.0,1510,85.0,False,86.0
7001,1500,86.0,1501,90.0,1534,80.0,False,77.0
7001,1524,77.0,1525,80.0,1558,57.0,False,80.0
7001,1548,80.0,1549,82.0,1582,62.0,False,31.0
7001,1572,31.0,1573,35.0,1606,73.0,False,64.0
7001,1596,64.0,1597,74.0,1630,48.0,False,40.0
7001,1620,40.0,1621,36.0,1654,44.0,False,58.0
7001,1644,58.0,1645,68.0,1678,41.0,False,31.0
7001,1668,31.0,1669,49.0,1702,52.0,False,31.0
7001,1692,31.0,1693,44.0,1726,82.0,False,76.0
7001,1716,76.0,1717,82.0,1750,66.0,False,56.0
7001,1740,56.0,1741,58.0,1774,60.0,False,86.0
7001,1764,86.0,1765,92.0,1798,62.0,False,88.0
7001,1788,88.0,1789,90.0,1822,73.0,True,76.0
7001,1812,76.0,1813,102.0,1846,73.0,True,96.0
7001,1836,96.0,1837,100.0,1870,42.0,False,41.0
7001,1860,41.0,1861,60.0,1894,18.0,False,4.0
7001,1884,4.0,1885,6.0,1918,54.0,False,37.0
7001,1908,37.0,1909,8.0,1942,30.0,False,66.0
7001,1932,66.0,1933,68.0,1966,53.0,False,74.0
7001,1956,74.0,1957,75.0,1990,46.0,False,93.0
7001,1980,93.0,1981,91.0,2014,72.0,False,78.0
7001,2004,78.0,2005,82.0,2038,71.0,False,91.0
7001,2028,91.0,2029,88.0,2062,71.0,False,93.0
7001,2052,93.0,2053,93.0,2086,75.0,False,59.0
7001,2076,59.0,2077,59.0,2110,82.0,False,80.0
7001,2100,80.0,2101,77.0,2134,76.0,False,81.0
7001,2124,81.0,2125,81.0,2158,84.0,False,77.0
7001,2148,77.0,2149,86.0,2182,82.0,False,86.0
7001,2172,86.0,2173,89.0,2206,68.0,False,75.0
7001,2196,75.0,2197,78.0,2230,59.0,False,34.0
7001,2220,34.0,2221,41.0,2254,74.0,False,60.0
7001,2244,60.0,2245,62.0,2278,80.0,False,81.0
7001,2268,81.0,2269,90.0,2302,91.0,False,94.0
7001,2292,94.0,2293,97.0,2326,71.0,True,96.0
7001,2316,96.0,2317,99.0,2350,76.0,True,91.0
7001,2340,91.0,2341,100.0,2374,82.0,True,81.0
7001,2364,81.0,2365,100.0,2398,94.0,True,117.0
7001,2388,117.0,2389,117.0,2422,54.0,True,111.0
7001,2412,111.0,2413,113.0,2446,66.0,True,101.0
7001,2436,101.0,2437,111.0,2470,68.0,True,95.0
7001,2460,95.0,2461,107.0,2494,69.0,True,100.0
7001,2484,100.0,2485,103.0,2518,95.0,True,90.0
7001,2508,90.0,2509,116.0,2542,91.0,True,113.0
7001,2532,113.0,2533,118.0,2566,94.0,False,96.0
7001,2556,96.0,2557,94.0,2590,78.0,False,78.0
7001,2580,78.0,2581,79.0,2614,38.0,False,54.0
7001,2604,54.0,2605,53.0,2638,92.0,False,82.0
7001,2628,82.0,2629,85.0,2662,89.0,True,111.0
7001,2652,111.0,2653,115.0,2686,110.0,True,123.0
7001,2676,123.0,2677,121.0,2710,87.0,True,109.0
7001,2700,109.0,2701,110.0,2734,100.0,True,130.0
7001,2724,130.0,2725,130.0,2758,62.0,True,83.0
7001,2772,100.0,2773,102.0,2806,73.0,False,64.0
7001,2796,64.0,2797,49.0,2830,46.0,False,76.0
7001,2820,76.0,2821,80.0,2854,63.0,False,66.0
7001,2844,66.0,2845,74.0,2878,91.0,True,97.0
7001,2868,97.0,2869,96.0,2902,51.0,False,59.0
7001,2892,59.0,2893,60.0,2926,21.0,False,74.0
7001,2916,74.0,2917,76.0,2950,32.0,False,78.0
7001,2940,78.0,2941,75.0,2974,100.0,False,66.0
7001,2964,66.0,2965,69.0,2998,62.0,True,89.0
7001,2988,89.0,2989,93.0,3022,68.0,True,101.0
7001,3012,101.0,3013,98.0,3046,65.0,True,103.0
7001,3036,103.0,3037,109.0,3070,68.0,True,51.0
7001,3060,51.0,3061,62.0,3094,67.0,True,92.0
7001,3084,92.0,3085,96.0,3118,66.0,True,95.0
7001,3108,95.0,3109,98.0,3142,88.0,True,110.0
7001,3132,110.0,3133,121.0,3166,55.0,True,106.0
7001,3156,106.0,3157,120.0,3190,122.0,True,121.0
7001,3180,121.0,3181,113.0,3214,88.0,True,80.0
7001,3204,80.0,3205,82.0,3238,84.0,False,88.0
7001,3228,88.0,3229,88.0,3262,64.0,False,94.0
7001,3252,94.0,3253,98.0,3286,68.0,True,95.0
7001,3276,95.0,3277,98.0,3310,97.0,True,100.0
7001,3300,100.0,3301,107.0,3334,87.0,False,83.0
7001,3324,83.0,3325,89.0,3358,78.0,False,80.0
7001,3348,80.0,3349,81.0,3382,97.0,False,97.0
7001,3372,97.0,3373,97.0,3406,104.0,True,108.0
7001,3396,108.0,3397,110.0,3430,111.0,True,110.0
7001,3420,110.0,3421,110.0,3454,69.0,True,107.0
7001,3444,107.0,3445,104.0,3478,53.0,False,81.0
7001,3468,81.0,3469,80.0,3502,82.0,False,90.0
7001,3492,90.0,3493,89.0,3526,76.0,True,102.0
7001,3516,102.0,3517,105.0,3550,88.0,True,113.0
7001,3540,113.0,3541,122.0,3574,68.0,True,95.0
