station_id,time_h0,value_h0,time_h-9,value_h-9,time_h-20,value_h-20,alert_d+1,value_d+1
7001,12,26.0,21,20.0,32,37.0,False,29.0
7001,36,29.0,45,4.0,56,7.0,False,67.0
7001,60,67.0,69,56.0,80,40.0,False,65.0
7001,84,65.0,93,29.0,104,31.0,False,19.0
7001,108,19.0,117,25.0,128,17.0,False,13.0
7001,132,13.0,141,5.0,152,15.0,False,8.0
7001,156,8.0,165,63.0,176,13.0,False,81.0
7001,180,81.0,189,63.0,200,40.0,False,74.0
7001,204,74.0,213,56.0,224,62.0,False,66.0
7001,228,66.0,237,63.0,248,66.0,False,78.0
7001,252,78.0,261,43.0,272,19.0,False,36.0
7001,276,36.0,285,43.0,296,6.0,False,74.0
7001,300,74.0,309,71.0,320,79.0,False,79.0
7001,324,79.0,333,48.0,344,30.0,False,62.0
7001,348,62.0,357,43.0,368,25.0,False,59.0
7001,372,59.0,381,52.0,392,35.0,False,71.0
7001,396,71.0,405,56.0,416,50.0,False,39.0
7001,420,39.0,429,40.0,440,5.0,False,14.0
7001,444,14.0,453,18.0,464,19.0,False,10.0
7001,468,10.0,477,9.0,488,21.0,False,41.0
7001,492,41.0,501,33.0,512,4.0,False,11.0
7001,516,11.0,525,4.0,536,16.0,False,16.0
7001,540,16.0,549,40.0,560,26.0,False,13.0
7001,564,13.0,573,69.0,584,63.0,False,73.0
7001,588,73.0,597,72.0,608,48.0,False,72.0
7001,612,72.0,621,65.0,632,52.0,False,72.0
7001,636,72.0,645,58.0,656,40.0,False,69.0
7001,660,69.0,669,70.0,680,69.0,False,78.0
7001,684,78.0,693,80.0,704,84.0,False,87.0
7001,708,87.0,717,50.0,728,12.0,False,68.0
7001,732,68.0,741,77.0,752,65.0,False,73.0
7001,756,73.0,765,67.0,776,43.0,False,77.0
7001,780,77.0,789,54.0,800,9.0,False,20.0
7001,804,20.0,813,68.0,824,48.0,False,55.0
7001,828,55.0,837,42.0,848,56.0,False,51.0
7001,852,51.0,861,45.0,872,28.0,False,40.0
7001,876,40.0,885,55.0,896,48.0,False,51.0
7001,900,51.0,909,51.0,920,57.0,False,63.0
7001,924,63.0,933,76.0,944,43.0,False,77.0
7001,948,77.0,957,62.0,968,59.0,False,30.0
7001,972,30.0,981,40.0,992,19.0,False,25.0
7001,996,25.0,1005,58.0,1016,39.0,False,34.0
7001,1020,34.0,1029,69.0,1040,38.0,False,85.0
7001,1044,85.0,1053,85.0,1064,55.0,False,87.0
7001,1068,87.0,1077,52.0,1088,56.0,False,65.0
7001,1092,65.0,1101,62.0,1112,10.0,False,54.0
7001,1116,54.0,1125,42.0,1136,2.0,False,70.0
7001,1140,70.0,1149,56.0,1160,44.0,False,62.0
7001,1164,62.0,1173,34.0,1184,13.0,False,22.0
7001,1188,22.0,1197,72.0,1208,14.0,True,100.0
7001,1212,100.0,1221,93.0,1232,60.0,False,86.0
7001,1236,86.0,1245,81.0,1256,77.0,False,82.0
7001,1260,82.0,1269,53.0,1280,58.0,False,78.0
7001,1284,78.0,1293,82.0,1304,72.0,False,87.0
7001,1308,87.0,1317,62.0,1328,43.0,False,73.0
7001,1332,73.0,1341,35.0,1352,2.0,False,24.0
7001,1356,24.0,1365,10.0,1376,74.0,False,80.0
7001,1380,80.0,1389,72.0,1400,61.0,False,80.0
7001,1404,80.0,1413,49.0,1424,63.0,False,71.0
7001,1428,71.0,1437,71.0,1448,74.0,False,87.0
7001,1452,87.0,1461,87.0,1472,69.0,False,95.0
7001,1476,95.0,1485,75.0,1496,63.0,False,86.0
7001,1500,86.0,1509,86.0,1520,72.0,False,77.0
7001,1524,77.0,1533,78.0,1544,28.0,False,80.0
7001,1548,80.0,1557,51.0,1568,28.0,False,31.0
7001,1572,31.0,1581,63.0,1592,48.0,False,64.0
7001,1596,64.0,1605,71.0,1616,38.0,False,40.0
7001,1620,40.0,1629,42.0,1640,38.0,False,58.0
7001,1644,58.0,1653,40.0,1664,13.0,False,31.0
7001,1668,31.0,1677,31.0,1688,14.0,False,31.0
7001,1692,31.0,1701,50.0,1712,5.0,False,76.0
7001,1716,76.0,1725,82.0,1736,62.0,False,56.0
7001,1740,56.0,1749,61.0,1760,36.0,False,86.0
7001,1764,86.0,1773,75.0,1784,23.0,False,88.0
7001,1788,88.0,1797,58.0,1808,31.0,True,76.0
7001,1812,76.0,1821,81.0,1832,34.0,True,96.0
7001,1836,96.0,1845,71.0,1856,26.0,False,41.0
7001,1860,41.0,1869,39.0,1880,10.0,False,4.0
7001,1884,4.0,1893,23.0,1904,45.0,False,37.0
7001,1908,37.0,1917,56.0,1928,60.0,False,66.0
7001,1932,66.0,1941,29.0,1952,9.0,False,74.0
7001,1956,74.0,1965,50.0,1976,37.0,False,93.0
7001,1980,93.0,1989,61.0,2000,58.0,False,78.0
7001,2004,78.0,2013,73.0,2024,76.0,False,91.0
7001,2028,91.0,2037,75.0,2048,79.0,False,93.0
7001,2052,93.0,2061,77.0,2072,39.0,False,59.0
7001,2076,59.0,2085,72.0,2096,83.0,False,80.0
7001,2100,80.0,2109,83.0,2120,80.0,False,81.0
7001,2124,81.0,2133,74.0,2144,74.0,False,77.0
7001,2148,77.0,2157,84.0,2168,85.0,False,86.0
7001,2172,86.0,2181,70.0,2192,80.0,False,75.0
7001,2196,75.0,2205,63.0,2216,36.0,False,34.0
7001,2220,34.0,2229,61.0,2240,77.0,False,60.0
7001,2244,60.0,2253,48.0,2264,59.0,False,81.0
7001,2268,81.0,2277,83.0,2288,82.0,False,94.0
7001,2292,94.0,2301,87.0,2312,71.0,True,96.0
7001,2316,96.0,2325,68.0,2336,52.0,True,91.0
7001,2340,91.0,2349,77.0,2360,23.0,True,81.0
7001,2364,81.0,2373,78.0,2384,33.0,True,117.0
7001,2388,117.0,2397,90.0,2408,72.0,True,111.0
7001,2412,111.0,2421,64.0,2432,41.0,True,101.0
7001,2436,101.0,2445,67.0,2456,31.0,True,95.0
7001,2460,95.0,2469,70.0,2480,23.0,True,100.0
7001,2484,100.0,2493,69.0,2504,23.0,True,90.0
7001,2508,90.0,2517,101.0,2528,58.0,True,113.0
7001,2532,113.0,2541,109.0,2552,82.0,False,96.0
7001,2556,96.0,2565,89.0,2576,50.0,False,78.0
7001,2580,78.0,2589,86.0,2600,52.0,False,54.0
7001,2604,54.0,2613,40.0,2624,48.0,False,82.0
7001,2628,82.0,2637,78.0,2648,51.0,True,111.0
7001,2652,111.0,2661,89.0,2672,46.0,True,123.0
7001,2676,123.0,2685,113.0,2696,105.0,True,109.0
7001,2700,109.0,2709,85.0,2720,30.0,True,130.0
7001,2724,130.0,2733,100.0,2744,70.0,True,83.0
