station_id,time_h0,value_h0,time_h-2,value_h-2,time_h-18,value_h-18,alert_d+1,value_d+1
7001,12,26.0,14,34.0,30,54.0,False,29.0
7001,36,29.0,38,12.0,54,11.0,False,67.0
7001,60,67.0,62,67.0,78,37.0,False,65.0
7001,84,65.0,86,59.0,102,43.0,False,19.0
7001,108,19.0,110,19.0,126,26.0,False,13.0
7001,132,13.0,134,68.0,150,25.0,False,8.0
7001,156,8.0,158,14.0,174,78.0,False,81.0
7001,180,81.0,182,80.0,198,44.0,False,74.0
7001,204,74.0,206,63.0,222,61.0,False,66.0
7001,228,66.0,230,62.0,246,76.0,False,78.0
7001,252,78.0,254,77.0,270,43.0,False,36.0
7001,276,36.0,278,22.0,294,19.0,False,74.0
7001,300,74.0,302,79.0,318,78.0,False,79.0
7001,324,79.0,326,75.0,342,27.0,False,62.0
7001,348,62.0,350,80.0,366,31.0,False,59.0
7001,372,59.0,374,76.0,390,65.0,False,71.0
7001,396,71.0,398,69.0,414,56.0,False,39.0
7001,420,39.0,422,46.0,438,30.0,False,14.0
7001,444,14.0,446,18.0,462,18.0,False,10.0
7001,468,10.0,470,11.0,486,29.0,False,41.0
7001,492,41.0,494,47.0,510,20.0,False,11.0
7001,516,11.0,518,15.0,534,9.0,False,16.0
7001,540,16.0,542,18.0,558,35.0,False,13.0
7001,564,13.0,566,50.0,582,67.0,False,73.0
7001,588,73.0,590,77.0,606,65.0,False,72.0
7001,612,72.0,614,64.0,630,59.0,False,72.0
7001,636,72.0,638,74.0,654,52.0,False,69.0
7001,660,69.0,662,72.0,678,69.0,False,78.0
7001,684,78.0,686,80.0,702,87.0,False,87.0
7001,708,87.0,710,80.0,726,20.0,False,68.0
7001,732,68.0,734,78.0,750,53.0,False,73.0
7001,756,73.0,758,77.0,774,50.0,False,77.0
7001,780,77.0,782,77.0,798,43.0,False,20.0
7001,804,20.0,806,58.0,822,60.0,False,55.0
7001,828,55.0,830,53.0,846,58.0,False,51.0
7001,852,51.0,854,53.0,870,33.0,False,40.0
