station_id,time_h0,value_h0,time_h-7,value_h-7,time_h-22,value_h-22,alert_d+1,value_d+1
7001,12,26.0,19,15.0,34,30.0,False,29.0
7001,36,29.0,43,16.0,58,36.0,False,67.0
7001,60,67.0,67,61.0,82,69.0,False,65.0
7001,84,65.0,91,42.0,106,37.0,False,19.0
7001,108,19.0,115,11.0,130,22.0,False,13.0
7001,132,13.0,139,6.0,154,17.0,False,8.0
7001,156,8.0,163,43.0,178,80.0,False,81.0
7001,180,81.0,187,69.0,202,83.0,False,74.0
7001,204,74.0,211,57.0,226,65.0,False,66.0
7001,228,66.0,235,66.0,250,72.0,False,78.0
7001,252,78.0,259,33.0,274,38.0,False,36.0
7001,276,36.0,283,34.0,298,61.0,False,74.0
7001,300,74.0,307,45.0,322,79.0,False,79.0
7001,324,79.0,331,24.0,346,26.0,False,62.0
7001,348,62.0,355,67.0,370,69.0,False,59.0
7001,372,59.0,379,73.0,394,69.0,False,71.0
7001,396,71.0,403,15.0,418,33.0,False,39.0
7001,420,39.0,427,18.0,442,30.0,False,14.0
7001,444,14.0,451,15.0,466,24.0,False,10.0
7001,468,10.0,475,13.0,490,39.0,False,41.0
7001,492,41.0,499,16.0,514,5.0,False,11.0
7001,516,11.0,523,7.0,538,12.0,False,16.0
7001,540,16.0,547,31.0,562,23.0,False,13.0
7001,564,13.0,571,67.0,586,66.0,False,73.0
7001,588,73.0,595,68.0,610,44.0,False,72.0
7001,612,72.0,619,68.0,634,69.0,False,72.0
7001,636,72.0,643,25.0,658,54.0,False,69.0
7001,660,69.0,667,75.0,682,72.0,False,78.0
7001,684,78.0,691,77.0,706,85.0,False,87.0
7001,708,87.0,715,74.0,730,40.0,False,68.0
7001,732,68.0,739,79.0,754,71.0,False,73.0
7001,756,73.0,763,62.0,778,68.0,False,77.0
7001,780,77.0,787,37.0,802,21.0,False,20.0
7001,804,20.0,811,57.0,826,51.0,False,55.0
7001,828,55.0,835,43.0,850,53.0,False,51.0
7001,852,51.0,859,50.0,874,35.0,False,40.0
7001,876,40.0,883,49.0,898,50.0,False,51.0
7001,900,51.0,907,43.0,922,56.0,False,63.0
7001,924,63.0,931,75.0,946,72.0,False,77.0
7001,948,77.0,955,49.0,970,32.0,False,30.0
7001,972,30.0,979,9.0,994,29.0,False,25.0
7001,1044,85.0,1051,75.0,1066,70.0,False,87.0
7001,1068,87.0,1075,52.0,1090,74.0,False,65.0
7001,1092,65.0,1099,68.0,1114,23.0,False,54.0
7001,1116,54.0,1123,29.0,1138,27.0,False,70.0
7001,1140,70.0,1147,43.0,1162,56.0,False,62.0
7001,1164,62.0,1171,47.0,1186,21.0,False,22.0
7001,1188,22.0,1195,45.0,1210,34.0,True,100.0
7001,1212,100.0,1219,95.0,1234,81.0,False,86.0
7001,1236,86.0,1243,83.0,1258,75.0,False,82.0
7001,1260,82.0,1267,55.0,1282,66.0,False,78.0
7001,1284,78.0,1291,86.0,1306,91.0,False,87.0
7001,1308,87.0,1315,75.0,1330,22.0,False,73.0
7001,1332,73.0,1339,32.0,1354,13.0,False,24.0
7001,1356,24.0,1363,3.0,1378,80.0,False,80.0
7001,1380,80.0,1387,75.0,1402,60.0,False,80.0
7001,1404,80.0,1411,52.0,1426,67.0,False,71.0
7001,1428,71.0,1435,64.0,1450,91.0,False,87.0
7001,1452,87.0,1459,92.0,1474,89.0,False,95.0
7001,1476,95.0,1483,47.0,1498,84.0,False,86.0
7001,1500,86.0,1507,81.0,1522,65.0,False,77.0
7001,1524,77.0,1531,79.0,1546,69.0,False,80.0
7001,1548,80.0,1555,33.0,1570,20.0,False,31.0
7001,1572,31.0,1579,38.0,1594,25.0,False,64.0
7001,1596,64.0,1603,48.0,1618,38.0,False,40.0
7001,1620,40.0,1627,23.0,1642,26.0,False,58.0
7001,1644,58.0,1651,38.0,1666,13.0,False,31.0
7001,1668,31.0,1675,26.0,1690,13.0,False,31.0
7001,1692,31.0,1699,41.0,1714,8.0,False,76.0
7001,1716,76.0,1723,70.0,1738,61.0,False,56.0
7001,1740,56.0,1747,56.0,1762,63.0,False,86.0
7001,1764,86.0,1771,75.0,1786,58.0,False,88.0
7001,1788,88.0,1795,54.0,1810,39.0,True,76.0
7001,1812,76.0,1819,89.0,1834,74.0,True,96.0
7001,1836,96.0,1843,60.0,1858,29.0,False,41.0
7001,1860,41.0,1867,38.0,1882,2.0,False,4.0
7001,1884,4.0,1891,20.0,1906,67.0,False,37.0
7001,1908,37.0,1915,98.0,1930,61.0,False,66.0
7001,1932,66.0,1939,37.0,1954,26.0,False,74.0
7001,1956,74.0,1963,46.0,1978,84.0,False,93.0
7001,1980,93.0,1987,68.0,2002,65.0,False,78.0
7001,2004,78.0,2011,71.0,2026,90.0,False,91.0
7001,2028,91.0,2035,76.0,2050,90.0,False,93.0
7001,2052,93.0,2059,80.0,2074,35.0,False,59.0
7001,2076,59.0,2083,66.0,2098,79.0,False,80.0
7001,2100,80.0,2107,81.0,2122,78.0,False,81.0
7001,2124,81.0,2131,74.0,2146,83.0,False,77.0
7001,2148,77.0,2155,87.0,2170,81.0,False,86.0
7001,2172,86.0,2179,83.0,2194,80.0,False,75.0
7001,2196,75.0,2203,68.0,2218,16.0,False,34.0
7001,2220,34.0,2227,59.0,2242,74.0,False,60.0
7001,2244,60.0,2251,56.0,2266,70.0,False,81.0
7001,2268,81.0,2275,88.0,2290,85.0,False,94.0
7001,2292,94.0,2299,96.0,2314,82.0,True,96.0
7001,2316,96.0,2323,77.0,2338,58.0,True,91.0
7001,2340,91.0,2347,65.0,2362,56.0,True,81.0
7001,2364,81.0,2371,73.0,2386,101.0,True,117.0
7001,2388,117.0,2395,113.0,2410,109.0,True,111.0
7001,2412,111.0,2419,80.0,2434,72.0,True,101.0
7001,2436,101.0,2443,76.0,2458,71.0,True,95.0
7001,2460,95.0,2467,81.0,2482,63.0,True,100.0
7001,2484,100.0,2491,66.0,2506,57.0,True,90.0
7001,2508,90.0,2515,84.0,2530,108.0,True,113.0
7001,2532,113.0,2539,107.0,2554,92.0,False,96.0
7001,2556,96.0,2563,89.0,2578,78.0,False,78.0
7001,2580,78.0,2587,88.0,2602,47.0,False,54.0
7001,2604,54.0,2611,46.0,2626,48.0,False,82.0
7001,2628,82.0,2635,71.0,2650,91.0,True,111.0
7001,2652,111.0,2659,89.0,2674,92.0,True,123.0
7001,2676,123.0,2683,124.0,2698,106.0,True,109.0
7001,2700,109.0,2707,103.0,2722,84.0,True,130.0
7001,2724,130.0,2731,78.0,2746,79.0,True,83.0
7001,2748,83.0,2755,68.0,2770,89.0,True,100.0
7001,2796,64.0,2803,75.0,2818,73.0,False,76.0
7001,2820,76.0,2827,70.0,2842,63.0,False,66.0
7001,2844,66.0,2851,71.0,2866,89.0,True,97.0
7001,2868,97.0,2875,103.0,2890,62.0,False,59.0
7001,2892,59.0,2899,53.0,2914,70.0,False,74.0
7001,2916,74.0,2923,53.0,2938,66.0,False,78.0
7001,2940,78.0,2947,58.0,2962,29.0,False,66.0
7001,2964,66.0,2971,80.0,2986,90.0,True,89.0
7001,2988,89.0,2995,89.0,3010,94.0,True,101.0
7001,3012,101.0,3019,82.0,3034,84.0,True,103.0
7001,3036,103.0,3043,61.0,3058,77.0,True,51.0
7001,3060,51.0,3067,92.0,3082,80.0,True,92.0
7001,3084,92.0,3091,69.0,3106,77.0,True,95.0
7001,3108,95.0,3115,62.0,3130,77.0,True,110.0
7001,3132,110.0,3139,88.0,3154,65.0,True,106.0
7001,3156,106.0,3163,100.0,3178,86.0,True,121.0
7001,3180,121.0,3187,125.0,3202,88.0,True,80.0
7001,3204,80.0,3211,87.0,3226,88.0,False,88.0
7001,3228,88.0,3235,90.0,3250,87.0,False,94.0
7001,3252,94.0,3259,76.0,3274,90.0,True,95.0
7001,3276,95.0,3283,94.0,3298,76.0,True,100.0
7001,3300,100.0,3307,98.0,3322,68.0,False,83.0
7001,3324,83.0,3331,88.0,3346,84.0,False,80.0
7001,3348,80.0,3355,83.0,3370,90.0,False,97.0
7001,3372,97.0,3379,96.0,3394,106.0,True,108.0
7001,3396,108.0,3403,102.0,3418,103.0,True,110.0
7001,3420,110.0,3427,109.0,3442,109.0,True,107.0
7001,3444,107.0,3451,70.0,3466,85.0,False,81.0
7001,3468,81.0,3475,56.0,3490,84.0,False,90.0
7001,3492,90.0,3499,88.0,3514,92.0,True,102.0
7001,3516,102.0,3523,95.0,3538,99.0,True,113.0
7001,3540,113.0,3547,106.0,3562,115.0,True,95.0
7001,3564,95.0,3571,86.0,3586,72.0,False,92.0
7001,3588,92.0,3595,77.0,3610,81.0,False,78.0
7001,3612,78.0,3619,75.0,3634,73.0,False,44.0
7001,3636,44.0,3643,53.0,3658,87.0,False,91.0
7001,3660,91.0,3667,68.0,3682,84.0,True,117.0
7001,3684,117.0,3691,89.0,3706,82.0,True,125.0
7001,3708,125.0,3715,84.0,3730,123.0,True,130.0
7001,3732,130.0,3739,129.0,3754,104.0,True,89.0
7001,3756,89.0,3763,94.0,3778,87.0,True,115.0
7001,3780,115.0,3787,102.0,3802,108.0,True,135.0
7001,3804,135.0,3811,134.0,3826,82.0,True,111.0
7001,3828,111.0,3835,103.0,3850,93.0,True,111.0
7001,3852,111.0,3859,56.0,3874,108.0,True,118.0
7001,3876,118.0,3883,86.0,3898,124.0,True,114.0
7001,3900,114.0,3907,104.0,3922,105.0,True,119.0
7001,3924,119.0,3931,68.0,3946,59.0,False,78.0
