,date,Organisme,Station,Valeur,idPolair,timestamp,alerte
446829,2015-01-03 21:00:00+00:00,7,9,53.0,7009,1420318800.0,False
446830,2015-01-03 22:00:00+00:00,7,9,54.0,7009,1420322400.0,False
446831,2015-01-03 23:00:00+00:00,7,9,55.0,7009,1420326000.0,False
446832,2015-01-04 00:00:00+00:00,7,9,52.0,7009,1420329600.0,False
446833,2015-01-04 01:00:00+00:00,7,9,37.0,7009,1420333200.0,False
446834,2015-01-04 02:00:00+00:00,7,9,50.0,7009,1420336800.0,False
446835,2015-01-04 03:00:00+00:00,7,9,63.0,7009,1420340400.0,False
446836,2015-01-04 04:00:00+00:00,7,9,60.0,7009,1420344000.0,False
446837,2015-01-04 05:00:00+00:00,7,9,40.0,7009,1420347600.0,False
446838,2015-01-04 06:00:00+00:00,7,9,32.0,7009,1420351200.0,False
446839,2015-01-04 07:00:00+00:00,7,9,31.0,7009,1420354800.0,False
446840,2015-01-04 08:00:00+00:00,7,9,21.0,7009,1420358400.0,False
446841,2015-01-04 09:00:00+00:00,7,9,25.0,7009,1420362000.0,False
446842,2015-01-04 10:00:00+00:00,7,9,42.0,7009,1420365600.0,False
446843,2015-01-04 11:00:00+00:00,7,9,52.0,7009,1420369200.0,False
446844,2015-01-04 12:00:00+00:00,7,9,54.0,7009,1420372800.0,False
446845,2015-01-04 13:00:00+00:00,7,9,61.0,7009,1420376400.0,False
446846,2015-01-04 14:00:00+00:00,7,9,54.0,7009,1420380000.0,False
446847,2015-01-04 15:00:00+00:00,7,9,53.0,7009,1420383600.0,False
446848,2015-01-04 16:00:00+00:00,7,9,43.0,7009,1420387200.0,False
446849,2015-01-04 17:00:00+00:00,7,9,40.0,7009,1420390800.0,False
446850,2015-01-04 18:00:00+00:00,7,9,38.0,7009,1420394400.0,False
446851,2015-01-04 19:00:00+00:00,7,9,31.0,7009,1420398000.0,False
446852,2015-01-04 20:00:00+00:00,7,9,35.0,7009,1420401600.0,False
446853,2015-01-04 21:00:00+00:00,7,9,32.0,7009,1420405200.0,False
446854,2015-01-04 22:00:00+00:00,7,9,39.0,7009,1420408800.0,False
446855,2015-01-04 23:00:00+00:00,7,9,46.0,7009,1420412400.0,False
446856,2015-01-05 00:00:00+00:00,7,9,48.0,7009,1420416000.0,False
446857,2015-01-05 01:00:00+00:00,7,9,48.0,7009,1420419600.0,False
446858,2015-01-05 02:00:00+00:00,7,9,49.0,7009,1420423200.0,False
446859,2015-01-05 03:00:00+00:00,7,9,47.0,7009,1420426800.0,False
446860,2015-01-05 04:00:00+00:00,7,9,42.0,7009,1420430400.0,False
446861,2015-01-05 05:00:00+00:00,7,9,38.0,7009,1420434000.0,False
446862,2015-01-05 06:00:00+00:00,7,9,20.0,7009,1420437600.0,False
446863,2015-01-05 07:00:00+00:00,7,9,8.0,7009,1420441200.0,False
446864,2015-01-05 08:00:00+00:00,7,9,3.0,7009,1420444800.0,False
446865,2015-01-05 09:00:00+00:00,7,9,5.0,7009,1420448400.0,False
446866,2015-01-05 10:00:00+00:00,7,9,7.0,7009,1420452000.0,False
446867,2015-01-05 11:00:00+00:00,7,9,12.0,7009,1420455600.0,False
446868,2015-01-05 12:00:00+00:00,7,9,26.0,7009,1420459200.0,False
446869,2015-01-05 13:00:00+00:00,7,9,25.0,7009,1420462800.0,False
446870,2015-01-05 14:00:00+00:00,7,9,26.0,7009,1420466400.0,False
446871,2015-01-05 15:00:00+00:00,7,9,22.0,7009,1420470000.0,False
446872,2015-01-05 16:00:00+00:00,7,9,7.0,7009,1420473600.0,False
446873,2015-01-05 17:00:00+00:00,7,9,2.0,7009,1420477200.0,False
446874,2015-01-05 18:00:00+00:00,7,9,3.0,7009,1420480800.0,False
446875,2015-01-05 19:00:00+00:00,7,9,4.0,7009,1420484400.0,False
446876,2015-01-05 20:00:00+00:00,7,9,4.0,7009,1420488000.0,False
446877,2015-01-05 21:00:00+00:00,7,9,5.0,7009,1420491600.0,False
446878,2015-01-05 22:00:00+00:00,7,9,5.0,7009,1420495200.0,False
446879,2015-01-05 23:00:00+00:00,7,9,5.0,7009,1420498800.0,False
446880,2015-01-06 00:00:00+00:00,7,9,5.0,7009,1420502400.0,False
446881,2015-01-06 01:00:00+00:00,7,9,4.0,7009,1420506000.0,False
446882,2015-01-06 02:00:00+00:00,7,9,3.0,7009,1420509600.0,False
446883,2015-01-06 03:00:00+00:00,7,9,3.0,7009,1420513200.0,False
446884,2015-01-06 04:00:00+00:00,7,9,2.0,7009,1420516800.0,False
446885,2015-01-06 05:00:00+00:00,7,9,2.0,7009,1420520400.0,False
446886,2015-01-06 06:00:00+00:00,7,9,2.0,7009,1420524000.0,False
446887,2015-01-06 07:00:00+00:00,7,9,3.0,7009,1420527600.0,False
446888,2015-01-06 08:00:00+00:00,7,9,3.0,7009,1420531200.0,False
446889,2015-01-06 09:00:00+00:00,7,9,4.0,7009,1420534800.0,False
446890,2015-01-06 10:00:00+00:00,7,9,5.0,7009,1420538400.0,False
446891,2015-01-06 11:00:00+00:00,7,9,7.0,7009,1420542000.0,False
446892,2015-01-06 12:00:00+00:00,7,9,11.0,7009,1420545600.0,False
446893,2015-01-06 13:00:00+00:00,7,9,16.0,7009,1420549200.0,False
446894,2015-01-06 14:00:00+00:00,7,9,15.0,7009,1420552800.0,False
446895,2015-01-06 15:00:00+00:00,7,9,41.0,7009,1420556400.0,False
446896,2015-01-06 16:00:00+00:00,7,9,43.0,7009,1420560000.0,False
446897,2015-01-06 17:00:00+00:00,7,9,10.0,7009,1420563600.0,False
446898,2015-01-06 18:00:00+00:00,7,9,2.0,7009,1420567200.0,False
446899,2015-01-06 19:00:00+00:00,7,9,19.0,7009,1420570800.0,False
446900,2015-01-06 20:00:00+00:00,7,9,25.0,7009,1420574400.0,False
446901,2015-01-06 21:00:00+00:00,7,9,13.0,7009,1420578000.0,False
446902,2015-01-06 22:00:00+00:00,7,9,31.0,7009,1420581600.0,False
446903,2015-01-06 23:00:00+00:00,7,9,35.0,7009,1420585200.0,False
446904,2015-01-07 00:00:00+00:00,7,9,16.0,7009,1420588800.0,False
446905,2015-01-07 01:00:00+00:00,7,9,7.0,7009,1420592400.0,False
446906,2015-01-07 02:00:00+00:00,7,9,16.0,7009,1420596000.0,False
446907,2015-01-07 03:00:00+00:00,7,9,4.0,7009,1420599600.0,False
446908,2015-01-07 04:00:00+00:00,7,9,5.0,7009,1420603200.0,False
446909,2015-01-07 05:00:00+00:00,7,9,2.0,7009,1420606800.0,False
446910,2015-01-07 06:00:00+00:00,7,9,1.0,7009,1420610400.0,False
446911,2015-01-07 07:00:00+00:00,7,9,1.0,7009,1420614000.0,False
446912,2015-01-07 08:00:00+00:00,7,9,2.0,7009,1420617600.0,False
446913,2015-01-07 09:00:00+00:00,7,9,2.0,7009,1420621200.0,False
446914,2015-01-07 10:00:00+00:00,7,9,3.0,7009,1420624800.0,False
446915,2015-01-07 11:00:00+00:00,7,9,8.0,7009,1420628400.0,False
446916,2015-01-07 12:00:00+00:00,7,9,9.0,7009,1420632000.0,False
446917,2015-01-07 13:00:00+00:00,7,9,7.0,7009,1420635600.0,False
446918,2015-01-07 14:00:00+00:00,7,9,11.0,7009,1420639200.0,False
446919,2015-01-07 15:00:00+00:00,7,9,24.0,7009,1420642800.0,False
446920,2015-01-07 16:00:00+00:00,7,9,10.0,7009,1420646400.0,False
446921,2015-01-07 17:00:00+00:00,7,9,1.0,7009,1420650000.0,False
446922,2015-01-07 18:00:00+00:00,7,9,2.0,7009,1420653600.0,False
446923,2015-01-07 19:00:00+00:00,7,9,3.0,7009,1420657200.0,False
446924,2015-01-07 20:00:00+00:00,7,9,3.0,7009,1420660800.0,False
446925,2015-01-07 21:00:00+00:00,7,9,4.0,7009,1420664400.0,False
446926,2015-01-07 22:00:00+00:00,7,9,3.0,7009,1420668000.0,False
